Date,Open,High,Low,Close,Adj Close,Volume
2023-04-13,2.284553,2.469997,2.260520,2.432755,2.432755,149142713
2023-04-14,2.432745,2.688411,2.429787,2.655217,2.655217,311985829
2023-04-15,2.655228,2.813242,2.614541,2.713599,2.713599,196849299
2023-04-16,2.713393,2.713393,2.633640,2.691915,2.691915,125572889
2023-04-17,2.691908,2.692205,2.569403,2.605583,2.605583,151444097
2023-04-18,2.606516,2.738322,2.597920,2.703752,2.703752,168562672
2023-04-19,2.703061,2.732768,2.530088,2.545793,2.545793,312979356
2023-04-20,2.545239,2.655893,2.409016,2.438211,2.438211,274112365
2023-04-21,2.438772,2.481206,2.257806,2.279807,2.279807,166785824
2023-04-22,2.279577,2.311683,2.241779,2.307796,2.307796,79162541
2023-04-23,2.307873,2.307873,2.156447,2.202462,2.202462,87809688
2023-04-24,2.202162,2.263247,2.169030,2.222200,2.222200,100409169
2023-04-25,2.221969,2.251689,2.132879,2.245108,2.245108,110331548
2023-04-26,2.245016,2.340914,2.115201,2.170810,2.170810,140871826
2023-04-27,2.170863,2.235879,2.154810,2.182074,2.182074,100573044
2023-04-28,2.182251,2.191998,2.118573,2.140394,2.140394,66254181
2023-04-29,2.140350,2.200239,2.129991,2.185465,2.185465,53972328
2023-04-30,2.185619,2.235456,2.154088,2.175580,2.175580,59421660
2023-05-01,2.174733,2.175827,2.048982,2.082537,2.082537,79305728
2023-05-02,2.082433,2.185970,2.076616,2.164698,2.164698,67378268
2023-05-03,2.164741,2.176716,2.083622,2.163224,2.163224,85779739
2023-05-04,2.163278,2.164224,2.015761,2.027350,2.027350,88207030
2023-05-05,2.027386,2.061115,1.949745,1.981972,1.981972,104461587
2023-05-06,1.982165,1.994381,1.816554,1.873935,1.873935,101233933
2023-05-07,1.873783,1.939019,1.870975,1.891428,1.891428,73182216
2023-05-08,1.890986,1.910865,1.674825,1.719832,1.719832,136667737
2023-05-09,1.720067,1.764646,1.691509,1.709125,1.709125,73365410
2023-05-10,1.709268,1.780416,1.644449,1.723871,1.723871,112433028
2023-05-11,1.724285,1.724285,1.499041,1.560610,1.560610,91757804
2023-05-12,1.560592,1.680600,1.490323,1.675022,1.675022,139698963
2023-05-13,1.675439,1.676206,1.630298,1.637360,1.637360,50646966
2023-05-14,1.637507,1.679333,1.604409,1.635735,1.635735,55197153
2023-05-15,1.635749,1.708804,1.607120,1.643740,1.643740,72570016
2023-05-16,1.643492,1.655986,1.606502,1.654286,1.654286,91571384
